Agrochemicals,Year,Amount (mt)
Insecticide,2002,1090
Fungicide,2002,1345
Herbicide,2002,582
Rodenticide,2002,563
Insecticide,2003,5829
Fungicide,2003,1673
Herbicide,2003,2472
Rodenticide,2003,159
Insecticide,2004,610
Fungicide,2004,770
Herbicide,2004,1096
Rodenticide,2004,NA
Insecticide,2005,5982
Fungicide,2005,1713
Herbicide,2005,5340
Rodenticide,2005,13
Insecticide,2006,6921
Fungicide,2006,2148
Herbicide,2006,8780
Rodenticide,2006,78
Insecticide,2007,9979
Fungicide,2007,2575
Herbicide,2007,8932
Rodenticide,2007,123
Insecticide,2008,5121
Fungicide,2008,2767
Herbicide,2008,10835
Rodenticide,2008,NA
Insecticide,2009,5078
Fungicide,2009,1248
Herbicide,2009,4525
Rodenticide,2009,1187
Insecticide,2010,NA
Fungicide,2010,4955
Herbicide,2010,NA
Rodenticide,2010,NA
