Product,Year,Amount (mt),Category
BEEF,2003,1112.4,Bovine
BEEF,2004,2586.8,Bovine
BEEF,2005,6331.7,Bovine
BEEF,2006,10585.5,Bovine
BEEF,2007,16250.4,Bovine
BEEF,2008,13135.1,Bovine
BEEF,2009,12338.4,Bovine
BEEF,2010,11175.9,Bovine
BEEF,2011,14823.2,Bovine
BEEF,2012,16703.5,Bovine
BUFFALO,2003,249.6,Bovine
BUFFALO,2004,1169.2,Bovine
BUFFALO,2005,2257.1,Bovine
BUFFALO,2006,4717.3,Bovine
BUFFALO,2007,8109,Bovine
BUFFALO,2008,7366.8,Bovine
BUFFALO,2009,4454.5,Bovine
BUFFALO,2010,2563.9,Bovine
BUFFALO,2011,2025,Bovine
BUFFALO,2012,1495,Bovine
CHEVON,2003,0,Other
CHEVON,2004,0,Other
CHEVON,2005,0,Other
CHEVON,2006,0,Other
CHEVON,2007,0,Other
CHEVON,2008,0,Other
CHEVON,2009,0,Other
CHEVON,2010,0,Other
CHEVON,2011,0,Other
CHEVON,2012,0,Other
CHICKEN,2003,32939,Poultry
CHICKEN,2004,39088.6,Poultry
CHICKEN,2005,40591,Poultry
CHICKEN,2006,44757.7,Poultry
CHICKEN,2007,63276.3,Poultry
CHICKEN,2008,89889,Poultry
CHICKEN,2009,67068.6,Poultry
CHICKEN,2010,69810.8,Poultry
CHICKEN,2011,86372.5,Poultry
CHICKEN,2012,73788.4,Poultry
DUCK,2003,4.1,Poultry
DUCK,2004,0,Poultry
DUCK,2005,0,Poultry
DUCK,2006,6.1,Poultry
DUCK,2007,0,Poultry
DUCK,2008,16,Poultry
DUCK,2009,30.8,Poultry
DUCK,2010,0,Poultry
DUCK,2011,4,Poultry
DUCK,2012,78.3,Poultry
MILK,2003,349.4,Other
MILK,2004,203.3,Other
MILK,2005,1555.1,Other
MILK,2006,1044.2,Other
MILK,2007,2659.9,Other
MILK,2008,2718.9,Other
MILK,2009,11406.4,Other
MILK,2010,27323,Other
MILK,2011,27619,Other
MILK,2012,24727.5,Other
MUTTON,2003,2122.3,Other
MUTTON,2004,2053.4,Other
MUTTON,2005,3640.8,Other
MUTTON,2006,4839.2,Other
MUTTON,2007,6887.1,Other
MUTTON,2008,5961.3,Other
MUTTON,2009,6153.1,Other
MUTTON,2010,4285.2,Other
MUTTON,2011,4520,Other
MUTTON,2012,2574.8,Other
PORK,2003,9882.3,Other
PORK,2004,7756.4,Other
PORK,2005,10286.8,Other
PORK,2006,13290.5,Other
PORK,2007,10551.5,Other
PORK,2008,5487.4,Other
PORK,2009,3150.2,Other
PORK,2010,2716.6,Other
PORK,2011,2507,Other
PORK,2012,1785.8,Other
PROCESSED MEAT,2003,0,Other
PROCESSED MEAT,2004,256.2,Other
PROCESSED MEAT,2005,270.4,Other
PROCESSED MEAT,2006,0,Other
PROCESSED MEAT,2007,0,Other
PROCESSED MEAT,2008,0,Other
PROCESSED MEAT,2009,0,Other
PROCESSED MEAT,2010,0,Other
PROCESSED MEAT,2011,0,Other
PROCESSED MEAT,2012,0,Other
TURKEY,2003,1164.5,Poultry
TURKEY,2004,1268.7,Poultry
TURKEY,2005,1697.2,Poultry
TURKEY,2006,3030.3,Poultry
TURKEY,2007,3514.7,Poultry
TURKEY,2008,3352.8,Poultry
TURKEY,2009,1980.2,Poultry
TURKEY,2010,1351.7,Poultry
TURKEY,2011,1033,Poultry
TURKEY,2012,1293.7,Poultry
