"",,,,,,,,,,
CATEGORY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BOVINE:,,,,,,,,,,
BEEF,"1,112.4","2,586.8","6,331.7","10,585.5","16,250.4","13,135.1","12,338.4","11,175.9","14,823.2","16,703.5"
BUFFALO,249.6,"1,169.2","2,257.1","4,717.3","8,109.0","7,366.8","4,454.5","2,563.9","2,025.0","1,495.0"
"",,,,,,,,,,
SUB-TOTAL,"1,362.1","3,756.0","8,588.8","15,302.8","24,359.4","20,501.9","16,792.9","13,739.8","16,848.2","18,198.5"
"",,,,,,,,,,
POULTRY:,,,,,,,,,,
CHICKEN,"32,939.0","39,088.6","40,591.0","44,757.7","63,276.3","89,889.0","67,068.6","69,810.8","86,372.5","73,788.4"
TURKEY,"1,164.5","1,268.7","1,697.2","3,030.3","3,514.7","3,352.8","1,980.2","1,351.7","1,033.0","1,293.7"
DUCK,4.1,0.0,0.0,6.1,0.0,16.0,30.8,0.0,4.0,78.3
"",,,,,,,,,,
SUB-TOTAL,"34,107.6","40,357.3","42,288.2","47,794.1","66,791.0","93,257.8","69,079.6","71,162.5","87,409.5","75,160.4"
"",,,,,,,,,,
OTHER:,,,,,,,,,,
CHEVON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,,,,,,,
MUTTON,"2,122.3","2,053.4","3,640.8","4,839.2","6,887.1","5,961.3","6,153.1","4,285.2","4,520.0","2,574.8"
PORK,"9,882.3","7,756.4","10,286.8","13,290.5","10,551.5","5,487.4","3,150.2","2,716.6","2,507","1,785.8"
PROCESSED MEAT,0.0,256.2,270.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUB-TOTAL,"12,353.9","10,269.3","15,753.1","18,129.7","17,438.6","11,448.7","9,303.3","7,001.9","7,027.0","4,360.6"
MILK,349.4,203.3,"1,555.1","1,044.2","2,659.9","2,718.9","11,406.4","27,323.0","27,619.0","24,727.5"
"",,,,,,,,,,
GRAND TOTAL,"47,823.5","54,382.6","66,630.1","82,270.8","111,248.9","127,927.3","106,582.2","119,227.2","138,903.7","122,447.0"
