Company,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
GOPDC,19956.8,26530.2,27065.2,28743.1,17842.7,18055.68,20143,18960.54,18045.8,17131.05
BOPP,17260,14323,16012,16485,15305,14960.18,14124,14232.57,13916.82,13601.07
TOPP,19892.1,20588.2,20223.6,20348,14797.1,14249.66,17373,14544.4,13627.94,12711.48
NOPL,5274,5801,6381,7019,7721,8492.83,12775,11812.93,12856.74,13900.55
AMEEN,7367,8104,8914,9805,10785.5,11863.68,11000,12589.86,13314.5,14039.14
Sub-Total,69749.9,75346.4,78595.8,82400.1,66451.3,66668.32,75415,72140.3,71761.8,71383.29
,,,,,,,,,,
"Medium
Scale Mills",6301,6932,7625,8387,9225.7,10148.07,10836,11584.66,12357.44,13130.22
,,,,,,,,,,
"Small-Scale
and Other
Private
Holdings",188503,207353,228089,250888,275976.8,303572.32,316222,342012.51,364279.77,386547.04
,,,,,,,,,,
TOTAL,264553.9,289631.4,314309.8,341675.1,351653.8,380388.71,402473,425737.47,448399.01,471060.55
